Record Length,10000,Points,-19.9200008E-3,3.19999992E-3,,Record Length,10000,Points,-19.9200008E-3,-68.000003695E-3,,Record Length,10000,Points,-19.9200008E-3,0.0,,Record Length,10000,Points,-2.0000001E-3,-512.000024319E-3,
Sample Interval,3.99999999E-6,s,-19.9160017E-3,3.19999992E-3,,Sample Interval,3.99999999E-6,s,-19.9160017E-3,-68.000003695E-3,,Sample Interval,3.99999999E-6,s,-19.9160017E-3,-799.999979790E-6,,Sample Interval,400.00000467E-9,s,-1.9996001E-3,-512.000024319E-3,
Trigger Point,4.98000045E3,Samples,-19.9120007E-3,1.9999999E-3,,Trigger Point,4.98000045E3,Samples,-19.9120007E-3,-68.000003695E-3,,Trigger Point,4.98000045E3,Samples,-19.9120007E-3,-399.99998990E-6,,Trigger Point,5.00000042E3,Samples,-1.9992001E-3,-512.000024319E-3,
,,,-19.9080016E-3,1.6000000E-3,,,,,-19.9080016E-3,-68.000003695E-3,,,,,-19.9080016E-3,-399.99998990E-6,,,,,-1.9988001E-3,-512.000024319E-3,
,,,-19.9040007E-3,-3.19999992E-3,,,,,-19.9040007E-3,-68.000003695E-3,,,,,-19.9040007E-3,0.0,,,,,-1.9984001E-3,-512.000024319E-3,
,,,-19.9000016E-3,-1.1999999E-3,,,,,-19.9000016E-3,-68.000003695E-3,,,,,-19.9000016E-3,-399.99998990E-6,,,,,-1.9980001E-3,-512.000024319E-3,
Source,CH1,,-19.8960006E-3,3.99999972E-3,,Source,CH2,,-19.8960006E-3,-68.000003695E-3,,Source,MATH,,-19.8960006E-3,-399.99998990E-6,,Source,REF1,,-1.9976001E-3,-512.000024319E-3,
Vertical Units,V,,-19.8920015E-3,1.9999999E-3,,Vertical Units,V,,-19.8920015E-3,-68.000003695E-3,,Vertical Units,VV,,-19.8920015E-3,-399.99998990E-6,,Vertical Units,V,,-1.9972001E-3,-512.000024319E-3,
Vertical Scale,9.999999747E-3,,-19.8880006E-3,799.999979790E-6,,Vertical Scale,200.00000950E-3,,-19.8880006E-3,-68.000003695E-3,,Vertical Scale,9.999999747E-3,,-19.8880006E-3,-399.99998990E-6,,Vertical Scale,100.0000047E-3,,-1.9968001E-3,-512.000024319E-3,
Vertical Offset,0,,-19.8840015E-3,3.19999992E-3,,Vertical Offset,0,,-19.8840015E-3,-68.000003695E-3,,Vertical Offset,0,,-19.8840015E-3,-399.99998990E-6,,Vertical Offset,0,,-1.9964001E-3,-512.000024319E-3,
Horizontal Units,s,,-19.8800005E-3,1.1999999E-3,,Horizontal Units,s,,-19.8800005E-3,-68.000003695E-3,,Horizontal Units,s,,-19.8800005E-3,0.0,,Horizontal Units,s,,-1.9960001E-3,-512.000024319E-3,
Horizontal Scale,3.99999999E-3,,-19.8760014E-3,1.6000000E-3,,Horizontal Scale,3.99999999E-3,,-19.8760014E-3,-68.000003695E-3,,Horizontal Scale,3.99999999E-3,,-19.8760014E-3,-399.99998990E-6,,Horizontal Scale,400.00000467E-6,,-1.9956001E-3,-512.000024319E-3,
Pt Fmt,Y,,-19.8720004E-3,3.19999992E-3,,Pt Fmt,Y,,-19.8720004E-3,-68.000003695E-3,,Pt Fmt,Y,,-19.8720004E-3,0.0,,Pt Fmt,Y,,-1.9952001E-3,-512.000024319E-3,
Yzero,400.00000000E-3,,-19.8680013E-3,33.19999948E-3,,Yzero,-2.0200000,,-19.8680013E-3,-68.000003695E-3,,Yzero,0.0,,-19.8680013E-3,0.0,,Yzero,0.0,,-1.9948001E-3,-512.000024319E-3,
Probe Atten,10.0000000,,-19.8640004E-3,1.9999999E-3,,Probe Atten,10.0000000,,-19.8640004E-3,-68.000003695E-3,,,,,-19.8640004E-3,-399.99998990E-6,,,,,-1.9944001E-3,-512.000024319E-3,
,,,-19.8600013E-3,-399.99998990E-6,,,,,-19.8600013E-3,-60.000002384E-3,,,,,-19.8600013E-3,-399.99998990E-6,,,,,-1.9940000E-3,-512.000024319E-3,
Note,TDS 3012B - 7:45:32 PM   9/18/2022,,-19.8560003E-3,1.6000000E-3,,Note,TDS 3012B - 7:45:32 PM   9/18/2022,,-19.8560003E-3,-84.000006318E-3,,Note,TDS 3012B - 7:45:32 PM   9/18/2022,,-19.8560003E-3,0.0,,Note,TDS 3012B - 7:45:32 PM   9/18/2022,,-1.9936000E-3,-512.000024319E-3,
,,,-19.8520012E-3,3.19999992E-3,,,,,-19.8520012E-3,-60.000002384E-3,,,,,-19.8520012E-3,-399.99998990E-6,,,,,-1.9932000E-3,-512.000024319E-3,
,,,-19.8480003E-3,-1.9999999E-3,,,,,-19.8480003E-3,-68.000003695E-3,,,,,-19.8480003E-3,-399.99998990E-6,,,,,-1.9928000E-3,-512.000024319E-3,
