,,,-995.400000647E-9,-269.99998093E-3,,,,,-995.400000647E-9,-260.00000071E-6,,,,,-995.400000647E-9,-340.00000358E-3,,,,,-1.9908000E-3,-512.000024319E-3,
,,,-995.200025500E-9,-269.99998093E-3,,,,,-995.200025500E-9,-219.99998717E-6,,,,,-995.200025500E-9,-359.99998450E-3,,,,,-1.9904000E-3,-512.000024319E-3,
,,,-995.000050352E-9,-289.99999166E-3,,,,,-995.000050352E-9,-260.00000071E-6,,,,,-995.000050352E-9,-340.00000358E-3,,,,,-1.9900000E-3,-512.000024319E-3,
,,,-994.799961518E-9,-269.99998093E-3,,,,,-994.799961518E-9,-219.99998717E-6,,,,,-994.799961518E-9,-359.99998450E-3,,,,,-1.9896000E-3,-512.000024319E-3,
,,,-994.599986370E-9,-250.00000000E-3,,,,,-994.599986370E-9,-299.99998515E-6,,,,,-994.599986370E-9,-319.99999285E-3,,,,,-1.9892000E-3,-512.000024319E-3,
,,,-994.400011223E-9,-250.00000000E-3,,,,,-994.400011223E-9,-180.00000273E-6,,,,,-994.400011223E-9,-340.00000358E-3,,,,,-1.9888000E-3,-512.000024319E-3,
,,,-994.200036075E-9,-250.00000000E-3,,,,,-994.200036075E-9,-180.00000273E-6,,,,,-994.200036075E-9,-340.00000358E-3,,,,,-1.9884000E-3,-512.000024319E-3,
,,,-993.999947241E-9,-250.00000000E-3,,,,,-993.999947241E-9,-180.00000273E-6,,,,,-993.999947241E-9,-340.00000358E-3,,,,,-1.9880000E-3,-512.000024319E-3,
,,,-993.799972093E-9,-269.99998093E-3,,,,,-993.799972093E-9,-139.9999892E-6,,,,,-993.799972093E-9,-340.00000358E-3,,,,,-1.9876000E-3,-512.000024319E-3,
,,,-993.599996946E-9,-269.99998093E-3,,,,,-993.599996946E-9,-99.999997474E-6,,,,,-993.599996946E-9,-319.99999285E-3,,,,,-1.9872000E-3,-512.000024319E-3,
,,,-993.400021798E-9,-269.99998093E-3,,,,,-993.400021798E-9,-180.00000273E-6,,,,,-993.400021798E-9,-340.00000358E-3,,,,,-1.9868000E-3,-512.000024319E-3,
,,,-993.200046651E-9,-289.99999166E-3,,,,,-993.200046651E-9,-59.999998484E-6,,,,,-993.200046651E-9,-340.00000358E-3,,,,,-1.9864000E-3,-512.000024319E-3,
,,,-992.999957816E-9,-250.00000000E-3,,,,,-992.999957816E-9,-99.999997474E-6,,,,,-992.999957816E-9,-340.00000358E-3,,,,,-1.9860000E-3,-512.000024319E-3,
,,,-992.799982669E-9,-250.00000000E-3,,,,,-992.799982669E-9,-59.999998484E-6,,,,,-992.799982669E-9,-340.00000358E-3,,,,,-1.9856000E-3,-512.000024319E-3,
,,,-992.600007521E-9,-269.99998093E-3,,,,,-992.600007521E-9,-19.9999995E-6,,,,,-992.600007521E-9,-359.99998450E-3,,,,,-1.9852000E-3,-512.000024319E-3,
,,,-992.400032374E-9,-250.00000000E-3,,,,,-992.400032374E-9,-19.9999995E-6,,,,,-992.400032374E-9,-359.99998450E-3,,,,,-1.9848000E-3,-512.000024319E-3,
,,,-992.199943539E-9,-250.00000000E-3,,,,,-992.199943539E-9,-59.999998484E-6,,,,,-992.199943539E-9,-359.99998450E-3,,,,,-1.9844002E-3,-512.000024319E-3,
,,,-991.999968392E-9,-250.00000000E-3,,,,,-991.999968392E-9,19.9999995E-6,,,,,-991.999968392E-9,-340.00000358E-3,,,,,-1.9840002E-3,-512.000024319E-3,
,,,-991.799993244E-9,-269.99998093E-3,,,,,-991.799993244E-9,-19.9999995E-6,,,,,-991.799993244E-9,-340.00000358E-3,,,,,-1.9836002E-3,-512.000024319E-3,
,,,-991.600018097E-9,-269.99998093E-3,,,,,-991.600018097E-9,19.9999995E-6,,,,,-991.600018097E-9,-359.99998450E-3,,,,,-1.9832002E-3,-512.000024319E-3,
,,,-991.400042949E-9,-250.00000000E-3,,,,,-991.400042949E-9,-19.9999995E-6,,,,,-991.400042949E-9,-340.00000358E-3,,,,,-1.9828002E-3,-512.000024319E-3,
,,,-991.199954115E-9,-250.00000000E-3,,,,,-991.199954115E-9,-19.9999995E-6,,,,,-991.199954115E-9,-359.99998450E-3,,,,,-1.9824002E-3,-512.000024319E-3,
,,,-990.999978967E-9,-229.99998927E-3,,,,,-990.999978967E-9,-19.9999995E-6,,,,,-990.999978967E-9,-359.99998450E-3,,,,,-1.9820002E-3,-512.000024319E-3,
,,,-990.800003819E-9,-250.00000000E-3,,,,,-990.800003819E-9,59.999998484E-6,,,,,-990.800003819E-9,-359.99998450E-3,,,,,-1.9816002E-3,-512.000024319E-3,
,,,-990.600028672E-9,-289.99999166E-3,,,,,-990.600028672E-9,59.999998484E-6,,,,,-990.600028672E-9,-340.00000358E-3,,,,,-1.9812002E-3,-512.000024319E-3,
,,,-990.400053524E-9,-269.99998093E-3,,,,,-990.400053524E-9,19.9999995E-6,,,,,-990.400053524E-9,-340.00000358E-3,,,,,-1.9808002E-3,-512.000024319E-3,
,,,-990.199964690E-9,-289.99999166E-3,,,,,-990.199964690E-9,59.999998484E-6,,,,,-990.199964690E-9,-340.00000358E-3,,,,,-1.9804002E-3,-512.000024319E-3,
,,,-989.999989542E-9,-289.99999166E-3,,,,,-989.999989542E-9,59.999998484E-6,,,,,-989.999989542E-9,-340.00000358E-3,,,,,-1.9800002E-3,-512.000024319E-3,
,,,-989.800014395E-9,-289.99999166E-3,,,,,-989.800014395E-9,-19.9999995E-6,,,,,-989.800014395E-9,-319.99999285E-3,,,,,-1.9796002E-3,-512.000024319E-3,
,,,-989.600039247E-9,-269.99998093E-3,,,,,-989.600039247E-9,19.9999995E-6,,,,,-989.600039247E-9,-340.00000358E-3,,,,,-1.9792002E-3,-512.000024319E-3,
,,,-989.399950413E-9,-250.00000000E-3,,,,,-989.399950413E-9,59.999998484E-6,,,,,-989.399950413E-9,-340.00000358E-3,,,,,-1.9788002E-3,-512.000024319E-3,
,,,-989.199975265E-9,-269.99998093E-3,,,,,-989.199975265E-9,19.9999995E-6,,,,,-989.199975265E-9,-340.00000358E-3,,,,,-1.9784002E-3,-512.000024319E-3,
,,,-989.000000118E-9,-269.99998093E-3,,,,,-989.000000118E-9,19.9999995E-6,,,,,-989.000000118E-9,-359.99998450E-3,,,,,-1.9780002E-3,-512.000024319E-3,
,,,-988.800024970E-9,-250.00000000E-3,,,,,-988.800024970E-9,-19.9999995E-6,,,,,-988.800024970E-9,-359.99998450E-3,,,,,-1.9776002E-3,-512.000024319E-3,
,,,-988.600049823E-9,-269.99998093E-3,,,,,-988.600049823E-9,-19.9999995E-6,,,,,-988.600049823E-9,-340.00000358E-3,,,,,-1.9772002E-3,-512.000024319E-3,
,,,-988.399960988E-9,-269.99998093E-3,,,,,-988.399960988E-9,-59.999998484E-6,,,,,-988.399960988E-9,-359.99998450E-3,,,,,-1.9768002E-3,-512.000024319E-3,
,,,-988.199985841E-9,-250.00000000E-3,,,,,-988.199985841E-9,-59.999998484E-6,,,,,-988.199985841E-9,-319.99999285E-3,,,,,-1.9764001E-3,-512.000024319E-3,
,,,-988.000010693E-9,-269.99998093E-3,,,,,-988.000010693E-9,-99.999997474E-6,,,,,-988.000010693E-9,-359.99998450E-3,,,,,-1.9760001E-3,-512.000024319E-3,
,,,-987.800035546E-9,-229.99998927E-3,,,,,-987.800035546E-9,-59.999998484E-6,,,,,-987.800035546E-9,-340.00000358E-3,,,,,-1.9756001E-3,-512.000024319E-3,
,,,-987.599946711E-9,-269.99998093E-3,,,,,-987.599946711E-9,-99.999997474E-6,,,,,-987.599946711E-9,-340.00000358E-3,,,,,-1.9752001E-3,-512.000024319E-3,
,,,-987.399971564E-9,-269.99998093E-3,,,,,-987.399971564E-9,-99.999997474E-6,,,,,-987.399971564E-9,-359.99998450E-3,,,,,-1.9748001E-3,-512.000024319E-3,
,,,-987.199996416E-9,-250.00000000E-3,,,,,-987.199996416E-9,-99.999997474E-6,,,,,-987.199996416E-9,-359.99998450E-3,,,,,-1.9744001E-3,-512.000024319E-3,
,,,-987.000021269E-9,-269.99998093E-3,,,,,-987.000021269E-9,-59.999998484E-6,,,,,-987.000021269E-9,-340.00000358E-3,,,,,-1.9740001E-3,-512.000024319E-3,
,,,-986.800046121E-9,-269.99998093E-3,,,,,-986.800046121E-9,-59.999998484E-6,,,,,-986.800046121E-9,-359.99998450E-3,,,,,-1.9736001E-3,-512.000024319E-3,
,,,-986.599957287E-9,-229.99998927E-3,,,,,-986.599957287E-9,-99.999997474E-6,,,,,-986.599957287E-9,-379.99999523E-3,,,,,-1.9732001E-3,-512.000024319E-3,
