Record Length,10000,Points,-19.9200008E-3,-799.999979790E-6,
Sample Interval,3.99999999E-6,s,-19.9160017E-3,-799.999979790E-6,
Trigger Point,4.98000045E3,Samples,-19.9120007E-3,-2.3999999E-3,
,,,-19.9080016E-3,-9.200000204E-3,
,,,-19.9040007E-3,1.1999999E-3,
,,,-19.9000016E-3,6.79999962E-3,
Source,CH1,,-19.8960006E-3,25.99999867E-3,
Vertical Units,V,,-19.8920015E-3,9.599999525E-3,
Vertical Scale,9.999999747E-3,,-19.8880006E-3,3.99999972E-3,
Vertical Offset,0,,-19.8840015E-3,-799.999979790E-6,
Horizontal Units,s,,-19.8800005E-3,799.999979790E-6,
Horizontal Scale,3.99999999E-3,,-19.8760014E-3,1.6000000E-3,
Pt Fmt,Y,,-19.8720004E-3,5.59999980E-3,
Yzero,400.00000000E-3,,-19.8680013E-3,1.9999999E-3,
Probe Atten,10.0000000,,-19.8640004E-3,-6.39999984E-3,
,,,-19.8600013E-3,6.39999984E-3,
Note,TDS 3012B - 7:53:06 PM   9/17/2022,,-19.8560003E-3,-4.79999976E-3,
,,,-19.8520012E-3,3.19999992E-3,
,,,-19.8480003E-3,4.39999998E-3,
,,,-19.8440012E-3,3.19999992E-3,
,,,-19.8400002E-3,799.999979790E-6,
,,,-19.8360011E-3,-5.59999980E-3,
,,,-19.8320001E-3,-399.99998990E-6,
,,,-19.8280010E-3,-5.59999980E-3,
,,,-19.8240001E-3,399.99998990E-6,
,,,-19.8200010E-3,-4.39999998E-3,
,,,-19.8160000E-3,1.9999999E-3,
,,,-19.8120009E-3,-1.9999999E-3,
,,,-19.8080000E-3,-399.99998990E-6,
,,,-19.8040009E-3,-1.9999999E-3,
,,,-19.7999999E-3,33.19999948E-3,
,,,-19.7960008E-3,-5.59999980E-3,
,,,-19.7920017E-3,-8.399999700E-3,
,,,-19.7880007E-3,14.8000000E-3,
,,,-19.7840016E-3,8.799999952E-3,
,,,-19.7800007E-3,2.3999999E-3,
,,,-19.7760016E-3,12.3999994E-3,
,,,-19.7720006E-3,-7.599999662E-3,
,,,-19.7680015E-3,6.39999984E-3,
,,,-19.7640005E-3,1.9999999E-3,
,,,-19.7600015E-3,15.5999996E-3,
,,,-19.7560005E-3,8.799999952E-3,
,,,-19.7520014E-3,0.0,
